,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWine_PerIncome,MntFruit_PerIncome,MntMeat_PerIncome,MntFish_PerIncome,MntSweet_PerIncome,MntGold_PerIncome,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,Education_2n Cycle,Education_Bachelors,Education_HighSchool,Education_Master,Education_PhD,Dt_Custom_Weekday_0,Dt_Custom_Weekday_1,Dt_Custom_Weekday_2,Dt_Custom_Weekday_3,Dt_Custom_Weekday_4,Dt_Custom_Weekday_5,Dt_Custom_Weekday_6,Dt_Customer_Season_Autumn,Dt_Customer_Season_Spring,Dt_Customer_Season_Summer,Dt_Customer_Season_Winter
0,1957,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0.005461144174206199,0.0007568199800474732,0.004695723967112732,0.0014792390519109703,0.0007568199800474732,0.0007568199800474732,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1954,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0.00011867771448299672,1.0788883134817883e-05,6.47332988089073e-05,2.1577766269635767e-05,1.0788883134817883e-05,6.47332988089073e-05,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1965,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0.002974320304972561,0.0003421166547973133,0.0008867105134542611,0.000774998952704118,0.00014662142348456286,0.00029324284696912573,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1984,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0.00020640996772498688,7.50581700818134e-05,0.000375290850409067,0.0001876454252045335,5.6293627561360054e-05,9.382271260226676e-05,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1981,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0.0014838831420582231,0.00036882644571389363,0.0010121283859125454,0.0003945585233218397,0.0002315886984715146,0.00012866038803973032,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
5,1967,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0.004159134899940812,0.000335930126533681,0.0007838369619119223,0.0,0.000335930126533681,0.00011197670884456033,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
6,1971,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0.002111979868787634,0.0005841646445582816,0.0014738923339624337,0.00044935741889098586,0.00044037027051316616,0.0002426530062011324,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,1985,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0.0011358880851318229,0.0001494589585699767,0.0008369701679918695,4.4837687570993004e-05,1.4945895856997668e-05,0.00034375560471094636,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
8,1974,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0.00023063490494547133,0.0,0.0003953741227636651,4.942176534545814e-05,4.942176534545814e-05,3.2947843563638756e-05,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,1983,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,4.865564454132324e-05,4.865564454132324e-05,5.8386773449587884e-05,0.0,1.9462257816529296e-05,9.731128908264648e-06,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
