,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWine_PerIncome,MntFruit_PerIncome,MntMeat_PerIncome,MntFish_PerIncome,MntSweet_PerIncome,MntGold_PerIncome,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,Education_2n Cycle,Education_Bachelors,Education_HighSchool,Education_Master,Education_PhD,Dt_Custom_Weekday_0,Dt_Custom_Weekday_1,Dt_Custom_Weekday_2,Dt_Custom_Weekday_3,Dt_Custom_Weekday_4,Dt_Custom_Weekday_5,Dt_Custom_Weekday_6,Dt_Customer_Season_Autumn,Dt_Customer_Season_Spring,Dt_Customer_Season_Summer,Dt_Customer_Season_Winter
0,1957,58138.0,0,0,58,6.453624998892692,4.477336814478207,6.302618975744905,5.147494476813453,4.477336814478207,4.477336814478207,3,8,10,4,7,0,0,0,0,0,0,1,-5.2100969554636345,-7.186385139878119,-5.361102978611421,-6.516227477542873,-7.186385139878119,-7.186385139878119,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1954,46344.0,1,1,38,2.3978952727983707,0.0,1.791759469228055,0.6931471805599453,0.0,1.791759469228055,2,1,1,2,5,0,0,0,0,0,0,0,-9.039099020538035,-11.436994293336406,-9.64523482410835,-10.74384711277646,-11.436994293336406,-9.64523482410835,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1965,71613.0,0,0,26,6.054439346269371,3.8918202981106265,4.844187086458591,4.709530201312334,3.044522437723423,3.7376696182833684,1,8,2,10,4,0,0,0,0,0,0,0,-5.817739735004329,-7.980358783163073,-7.027991994815109,-7.162648879961365,-8.827656643550277,-8.134509462990332,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1984,26646.0,1,0,26,2.3978952727983707,1.3862943611198906,2.995732273553991,2.302585092994046,1.0986122886681098,1.6094379124341003,2,2,0,4,6,0,0,0,0,0,0,0,-8.485646232281733,-9.497247143960212,-7.887809231526112,-8.580956412086056,-9.784929216411992,-9.274103592646002,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1981,58293.0,1,0,94,5.153291594497779,3.7612001156935624,4.770684624465665,3.828641396489095,3.295836866004329,2.70805020110221,5,5,3,6,5,0,0,0,0,0,0,0,-6.513092882581303,-7.905184361385519,-6.895699852613417,-7.837743080589987,-8.370547611074752,-8.958334275976872,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
5,1967,62513.0,0,1,16,6.253828811575473,3.7376696182833684,4.584967478670572,0.0,3.7376696182833684,2.6390573296152584,2,6,4,10,6,0,0,0,0,0,0,0,-5.482448183079964,-7.998607376372069,-7.151309515984866,0.0,-7.998607376372069,-9.097219665040178,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
6,1971,55635.0,0,1,34,5.459585514144159,4.174387269895637,5.099866427824199,3.912023005428146,3.8918202981106265,3.295836866004329,4,7,3,7,6,0,0,0,0,0,0,0,-6.160129445007587,-7.445327689256109,-6.519848531327548,-7.7076919537236,-7.72789466104112,-8.323878093147417,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,1985,33454.0,1,0,32,4.330733340286331,2.302585092994046,4.02535169073515,1.0986122886681098,0.0,3.1354942159291497,2,4,0,4,8,0,0,0,0,0,0,0,-6.7803404801455684,-8.808488727437853,-7.08572212969675,-10.01246153176379,-11.1110738204319,-7.97557960450275,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
8,1974,30351.0,1,0,19,2.6390573296152584,0.0,3.1780538303479458,1.0986122886681098,1.0986122886681098,0.6931471805599453,1,3,0,2,9,0,0,0,0,0,0,1,-8.374674595818687,0.0,-7.835678095086,-9.915119636765835,-9.915119636765835,-10.320584744874001,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
10,1983,51381.5,1,0,11,1.6094379124341003,1.6094379124341003,1.791759469228055,0.0,0.6931471805599453,0.0,1,1,0,2,7,0,0,0,0,0,0,0,-9.93074273260258,-9.93074273260258,-9.748421175808625,0.0,-10.847033464476734,-11.54018064503668,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,1959,63033.0,0,0,82,5.267858159063328,4.110873864173311,6.173786103901937,5.41610040220442,4.718498871295094,3.4011973816621555,1,3,4,8,2,0,0,0,0,0,0,0,-6.476702699253776,-7.633686994143793,-5.570774754415168,-6.328460456112684,-7.026061987022009,-8.343363476654948,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,1952,59354.0,1,1,53,5.4510384535657,0.6931471805599453,3.970291913552122,1.0986122886681098,1.6094379124341003,2.6390573296152584,3,6,1,5,6,0,0,0,0,0,0,0,-6.233383521559649,-10.991274794565404,-7.714130061573227,-10.585809686457239,-10.074984062691248,-9.045364645510091,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
14,1987,17323.0,0,0,38,1.0986122886681098,2.6390573296152584,2.833213344056216,1.791759469228055,0.0,1.6094379124341003,1,1,0,3,8,0,0,0,0,0,0,0,-9.354325269170776,-7.813880228223628,-7.61972421378267,-8.66117808861083,-10.452937557838887,-8.843499645404785,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,1946,82800.0,0,0,23,6.913737350659685,3.091042453358316,4.74493212836325,4.07753744390572,4.219507705176107,3.8066624897703196,1,7,6,12,3,0,0,1,1,0,0,1,-5.103593170273612,-8.92628806757498,-7.272398392570047,-7.939793077027577,-7.79782281575719,-8.210668031162976,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16,1980,41850.0,1,1,51,3.970291913552122,1.6094379124341003,2.9444389791664403,0.6931471805599453,2.5649493574615367,1.3862943611198906,3,3,0,3,8,0,0,0,0,0,0,0,-7.364702342925445,-9.725556344043467,-8.390555277311126,-10.641847075917621,-8.77004489901603,-9.948699895357676,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,1946,37760.0,0,0,20,4.430816798843313,1.6094379124341003,3.6375861597263857,5.0106352940962555,2.4849066497880004,3.332204510175204,2,4,1,6,7,0,0,0,0,0,0,0,-6.801336001976068,-9.622714888385282,-7.594566641092997,-6.221517506723127,-8.747246151031382,-7.899948290644178,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,1949,76995.0,0,1,91,6.919683849847411,4.382026634673881,6.210600077024653,0.0,2.772588722239781,5.170483995038151,2,11,4,9,5,0,0,0,1,0,0,0,-5.024959094375047,-7.562616309548577,-5.734042867197806,0.0,-9.172054221982677,-6.774158949184307,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
19,1985,33812.0,1,0,86,1.3862943611198906,2.833213344056216,2.9444389791664403,3.4011973816621555,3.1780538303479458,3.6635616461296463,2,2,1,3,6,0,0,0,0,0,0,0,-9.735423867488873,-8.288504884552548,-8.177279249442323,-7.7205208469466085,-7.943664398260818,-7.458156582479117,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,1982,37040.0,0,0,41,4.454347296253507,0.6931471805599453,4.290459441148391,4.23410650459726,3.6375861597263857,3.871201010907891,1,4,2,5,8,0,0,0,0,0,0,0,-6.758553573066553,-10.519753688760115,-6.92244142817167,-6.978794364722802,-7.575314709593675,-7.34169985841217,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
